config,session_id,query_id,best_gold_score,best_non_gold_score,hard_negative_margin
B2,S004,S004-Q044,0.46348822116851807,0.46092501282691956,0.0025632083415985107
B2,S004,S004-Q049,0.5356836915016174,0.6703566908836365,-0.13467299938201904
B2,S004,S004-Q052,0.5937312245368958,0.6435877680778503,-0.04985654354095459
B2,S004,S004-Q055,0.5188160538673401,0.6210184097290039,-0.10220235586166382
B2,S004,S004-Q056,0.5185539722442627,0.6101932525634766,-0.09163928031921387
B2,S004,S004-Q063,0.5532481074333191,0.5908905267715454,-0.03764241933822632
B2,S004,S004-Q065,0.5469305515289307,0.6199823021888733,-0.07305175065994263
B2,S004,S004-Q066,0.4378882944583893,0.5166345834732056,-0.07874628901481628
B2,S004,S004-Q070,0.5321717262268066,0.5890918970108032,-0.05692017078399658
B2,S005,S005-Q007,0.5394211411476135,0.5935505032539368,-0.05412936210632324
B2,S005,S005-Q011,0.47351738810539246,0.4890553653240204,-0.01553797721862793
B2,S005,S005-Q013,0.5369487404823303,0.509541928768158,0.027406811714172363
B2,S005,S005-Q014,0.4604731798171997,0.463681161403656,-0.003207981586456299
B2,S005,S005-Q021,0.5686028003692627,0.6127222776412964,-0.04411947727203369
B2,S005,S005-Q022,0.5929790139198303,0.6387538313865662,-0.04577481746673584
B2,S005,S005-Q026,0.5803491473197937,0.6004529595375061,-0.020103812217712402
B2,S005,S005-Q028,0.571383535861969,0.6198416948318481,-0.04845815896987915
B2,S005,S005-Q033,0.5958099365234375,0.6106025576591492,-0.01479262113571167
B2,S005,S005-Q035,0.5552467107772827,0.5894432067871094,-0.03419649600982666
B2,S005,S005-Q039,0.5483748316764832,0.5961841940879822,-0.04780936241149902
B2,S005,S005-Q042,0.6112726926803589,0.634748101234436,-0.02347540855407715
B2,S005,S005-Q044,0.5784313678741455,0.6339529156684875,-0.05552154779434204
B2,S005,S005-Q049,0.591213047504425,0.5904045701026917,0.0008084774017333984
B2,S005,S005-Q052,0.5858946442604065,0.6142362952232361,-0.02834165096282959
B2,S005,S005-Q055,0.5274847745895386,0.5364553332328796,-0.008970558643341064
B2,S005,S005-Q056,0.5293458700180054,0.6015443205833435,-0.07219845056533813
