Add 方式,session_id,source_turn_id,page_id,raw_token_count_including_special,effective_token_count,truncated,summary_tokens_total,summary_tokens_kept,keywords_tokens_total,keywords_tokens_kept,user_tokens_total,user_tokens_kept,user_truncation_status
原 Production Add（仅当前 User + Assistant）,S004,S004-Q003,e45c4d60-1608-5524-b2df-3c2b4e8007c5,488,488,False,393,393,45,45,48,48,FULLY_KEPT
原 Production Add（仅当前 User + Assistant）,S004,S004-Q004,e69ec046-4916-5e0b-8917-8f3fc9d8b112,391,391,False,290,290,51,51,48,48,FULLY_KEPT
原 Production Add（仅当前 User + Assistant）,S004,S004-Q005,21d39c45-cce0-52fc-a2b9-e5a4aeaa91d8,236,236,False,156,156,37,37,41,41,FULLY_KEPT
原 Production Add（仅当前 User + Assistant）,S004,S004-Q006,d876eb51-66ba-5437-955a-25c3f405ef2f,593,512,True,500,500,43,10,48,0,FULLY_TRUNCATED
原 Production Add（仅当前 User + Assistant）,S004,S004-Q007,75c0a8f8-fa8f-5fdb-89db-f1e0f0f43bb4,408,408,False,309,309,44,44,53,53,FULLY_KEPT
原 Production Add（仅当前 User + Assistant）,S004,S004-Q008,a60bbf7a-8108-58fc-8b4a-1356764282aa,534,512,True,433,433,43,43,56,34,PARTIALLY_TRUNCATED
原 Production Add（仅当前 User + Assistant）,S004,S004-Q009,b90ba0e9-ee61-5bae-a71f-8eae2f3ebcb8,444,444,False,341,341,51,51,50,50,FULLY_KEPT
原 Production Add（仅当前 User + Assistant）,S004,S004-Q010,75337c00-099c-56d7-ad2c-bd3be6ef4b11,318,318,False,229,229,50,50,37,37,FULLY_KEPT
原 Production Add（仅当前 User + Assistant）,S004,S004-Q011,0cd91b6e-376f-57c4-8232-cdabb36c695f,384,384,False,288,288,43,43,51,51,FULLY_KEPT
原 Production Add（仅当前 User + Assistant）,S004,S004-Q012,1404aa4a-3c7a-565e-8e67-9f834683b3b2,410,410,False,322,322,43,43,43,43,FULLY_KEPT
原 Production Add（仅当前 User + Assistant）,S004,S004-Q013,4d69ebe7-67b0-50e3-b528-7136c65b206a,383,383,False,296,296,37,37,48,48,FULLY_KEPT
原 Production Add（仅当前 User + Assistant）,S004,S004-Q014,7567fc91-4210-59bc-ac74-0cc3060edc83,527,512,True,431,431,45,45,49,34,PARTIALLY_TRUNCATED
原 Production Add（仅当前 User + Assistant）,S004,S004-Q015,112af49e-d51f-599c-ad67-5cc18432f1a8,444,444,False,353,353,44,44,45,45,FULLY_KEPT
