scheme_id,candidate_id,input_id,session_id,session_code,query_id,repeat,measurement_reused_for_identical_chain,candidate_generation_ms,packing_ms,reranker_ms,total_e2e_ms
D1_BEST_INPUT_FIX,C2_RRF60_20,R1_KEYWORDS_FIRST,S002_贵州茅台_内审,S002,S002-Q055,1,False,176.5073360002134,0.07840000034775585,8745.435895005357,8922.038431002875
D2_BEST_CANDIDATE_INPUT,C2_RRF60_20,R0_P8_CURRENT,S002_贵州茅台_内审,S002,S002-Q055,1,True,313.37987100414466,0.09099999442696571,8732.898863003356,9046.38473399973
D0_CURRENT_FROZEN_QUALITY,C2_RRF60_20,R0_P8_CURRENT,S002_贵州茅台_内审,S002,S002-Q056,1,False,202.77121099934448,0.0906999921426177,9561.710636000498,9764.586347009754
D1_BEST_INPUT_FIX,C2_RRF60_20,R1_KEYWORDS_FIRST,S002_贵州茅台_内审,S002,S002-Q056,1,False,234.68376700475346,0.07320000440813601,9252.176463996875,9486.947231009253
D2_BEST_CANDIDATE_INPUT,C2_RRF60_20,R0_P8_CURRENT,S002_贵州茅台_内审,S002,S002-Q056,1,True,202.77121099934448,0.0906999921426177,9561.710636000498,9764.586347009754
D0_CURRENT_FROZEN_QUALITY,C2_RRF60_20,R0_P8_CURRENT,S002_贵州茅台_内审,S002,S002-Q063,1,False,191.33030499506276,0.08779899508226663,8680.774696011213,8872.208000000683
D1_BEST_INPUT_FIX,C2_RRF60_20,R1_KEYWORDS_FIRST,S002_贵州茅台_内审,S002,S002-Q063,1,False,167.37362599815242,0.12630100536625832,8722.655454010237,8890.184481002507
D2_BEST_CANDIDATE_INPUT,C2_RRF60_20,R0_P8_CURRENT,S002_贵州茅台_内审,S002,S002-Q063,1,True,191.33030499506276,0.08779899508226663,8680.774696011213,8872.208000000683
D0_CURRENT_FROZEN_QUALITY,C2_RRF60_20,R0_P8_CURRENT,S002_贵州茅台_内审,S002,S002-Q065,1,False,191.83547000284307,0.10109999857377261,8777.590230994974,8969.551600996056
D1_BEST_INPUT_FIX,C2_RRF60_20,R1_KEYWORDS_FIRST,S002_贵州茅台_内审,S002,S002-Q065,1,False,199.94854800461326,0.08529999468009919,9601.25240200432,9801.315949996933
D2_BEST_CANDIDATE_INPUT,C2_RRF60_20,R0_P8_CURRENT,S002_贵州茅台_内审,S002,S002-Q065,1,True,191.83547000284307,0.10109999857377261,8777.590230994974,8969.551600996056
D0_CURRENT_FROZEN_QUALITY,C2_RRF60_20,R0_P8_CURRENT,S002_贵州茅台_内审,S002,S002-Q066,1,False,278.87591799662914,0.12590001279022545,9602.202556998236,9881.22697500512
D1_BEST_INPUT_FIX,C2_RRF60_20,R1_KEYWORDS_FIRST,S002_贵州茅台_内审,S002,S002-Q066,1,False,274.4965189922368,0.09240000508725643,9759.757749998244,10034.367468993878
D2_BEST_CANDIDATE_INPUT,C2_RRF60_20,R0_P8_CURRENT,S002_贵州茅台_内审,S002,S002-Q066,1,True,278.87591799662914,0.12590001279022545,9602.202556998236,9881.22697500512
D0_CURRENT_FROZEN_QUALITY,C2_RRF60_20,R0_P8_CURRENT,S002_贵州茅台_内审,S002,S002-Q070,1,False,186.97311299911235,0.09169999975711107,8306.063691008603,8493.148903988185
D1_BEST_INPUT_FIX,C2_RRF60_20,R1_KEYWORDS_FIRST,S002_贵州茅台_内审,S002,S002-Q070,1,False,195.37115300772712,0.07359999290201813,8643.765917004202,8839.229270000942
D2_BEST_CANDIDATE_INPUT,C2_RRF60_20,R0_P8_CURRENT,S002_贵州茅台_内审,S002,S002-Q070,1,True,186.97311299911235,0.09169999975711107,8306.063691008603,8493.148903988185
D0_CURRENT_FROZEN_QUALITY,C2_RRF60_20,R0_P8_CURRENT,S003_比亚迪_风委,S003,S003-Q007,1,False,32.48285499284975,0.02710000262595713,1430.5866089998744,1463.1048640003428
D1_BEST_INPUT_FIX,C2_RRF60_20,R1_KEYWORDS_FIRST,S003_比亚迪_风委,S003,S003-Q007,1,False,113.92490701109637,0.0312999909510836,1543.281852005748,1657.4226589873433
D2_BEST_CANDIDATE_INPUT,C2_RRF60_20,R0_P8_CURRENT,S003_比亚迪_风委,S003,S003-Q007,1,True,32.48285499284975,0.02710000262595713,1430.5866089998744,1463.1048640003428
D0_CURRENT_FROZEN_QUALITY,C2_RRF60_20,R0_P8_CURRENT,S003_比亚迪_风委,S003,S003-Q011,1,False,107.02791500079911,0.040799990529194474,3706.2961280025775,3813.370843010489
