session_id,query_id,score_type,best_gold_score,strongest_nongold_score,margin,positive_margin
S002,S002-Q033,Task cosine,0.7380290471332698,0.7790763842509022,-0.04104733711763242,False
S002,S002-Q033,Fact cosine,0.7144086360931396,0.7315542697906494,-0.017145633697509766,False
S002,S002-Q033,Relation cosine,0.6526581048965454,0.7575318217277527,-0.10487371683120728,False
S002,S002-Q033,Field-aware final,0.7064605888850463,0.7456664509553048,-0.03920586207025856,False
S002,S002-Q035,C3 Dense,0.7214906811714172,0.7545443773269653,-0.033053696155548096,False
S002,S002-Q035,Task cosine,0.6740228935493764,0.7773225770784961,-0.10329968352911967,False
S002,S002-Q035,Fact cosine,0.7704015237332299,0.7889398806655336,-0.018538356932303657,False
S002,S002-Q035,Relation cosine,0.6183980107307434,0.7258667945861816,-0.10746878385543823,False
S002,S002-Q035,Field-aware final,0.7014493690591913,0.7602973065633022,-0.05884793750411088,False
S002,S002-Q039,C3 Dense,0.7298577427864075,0.7318680286407471,-0.0020102858543395996,False
S002,S002-Q039,Task cosine,0.7704213124764748,0.8082766418621923,-0.03785532938571745,False
S002,S002-Q039,Fact cosine,0.6898022294044495,0.6671628952026367,0.022639334201812744,True
S002,S002-Q039,Relation cosine,0.558039665222168,0.6139709949493408,-0.05593132972717285,False
S002,S002-Q039,Field-aware final,0.6916866009335831,0.7026690196860967,-0.0109824187525136,False
S002,S002-Q042,C3 Dense,0.6979053020477295,0.7746938467025757,-0.07678854465484619,False
S002,S002-Q042,Task cosine,0.6703314584691201,0.7462058663368225,-0.07587440786770239,False
S002,S002-Q042,Fact cosine,0.739150881767273,0.8011958003044128,-0.06204491853713989,False
S002,S002-Q042,Relation cosine,0.6798351621431306,0.7540401669764618,-0.07420500483333126,False
S002,S002-Q042,Field-aware final,0.6997599685231835,0.7366954767843465,-0.0369355082611631,False
S002,S002-Q044,C3 Dense,0.7309869527816772,0.7593992948532104,-0.028412342071533203,False
S002,S002-Q044,Task cosine,0.6348010083914404,0.8105718976600109,-0.17577088926857054,False
S002,S002-Q044,Fact cosine,0.7503796815872192,0.7598511576652527,-0.009471476078033447,False
S002,S002-Q044,Relation cosine,0.6660940448101785,0.6708549464768108,-0.0047609016666322335,False
S002,S002-Q044,Field-aware final,0.6851720085752092,0.7537394792502641,-0.06856747067505486,False
S002,S002-Q049,C3 Dense,0.67808997631073,0.7068848013877869,-0.028794825077056885,False
S002,S002-Q049,Task cosine,0.7406264984981119,0.7894766205237281,-0.04885012202561623,False
S002,S002-Q049,Fact cosine,0.7178205251693726,0.738371729850769,-0.020551204681396484,False
