query_id,candidate_k,page_id,is_eligible_gold,candidate_rank,candidate_score_rrf60,dense_rank,bm25_rank,reranker_rank,reranker_cached_sigmoid_score
S001-Q026,15,f1228bac-12d1-520f-9787-52a8cdcd49db,False,13,0.027598020555767037,14,11,15,0.02130707081193608
S001-Q026,15,9b4b60a1-f0f9-5368-b4ce-b441752321bb,False,14,0.02684684684684685,15,14,12,0.07846154403633117
S001-Q026,15,e7eefead-7365-5540-b914-0d6077a14d8c,False,15,0.026785714285714288,20,10,3,0.26130690205605855
S001-Q028,15,dc12b285-c21d-5cfe-84a2-d016fce5ffe6,False,1,0.03252247488101534,1,2,1,0.302872618616857
S001-Q028,15,55e7e466-3b1c-5014-85fc-2a14618ce254,False,2,0.03125763125763126,5,3,2,0.19331731179930622
S001-Q028,15,d5c03971-3795-5256-a75f-b3921d61a92d,False,3,0.03125763125763126,3,5,5,0.0250724912132731
S001-Q028,15,dfaf0dfd-1943-54e1-99a3-0690c5a9cb38,False,4,0.03009207275993712,13,1,3,0.08921590999454748
S001-Q028,15,44777fdf-abd5-5570-b0aa-8e3f1cb44000,True,5,0.02964254577157803,2,14,14,0.0025878377343257894
S001-Q028,15,71a788a3-0077-5908-a7f4-d02349fd6e1c,False,6,0.029631255487269532,8,7,8,0.009083140122932992
S001-Q028,15,28a3b6de-dd4b-5bf8-919e-169ce12b1349,False,7,0.029418126757516764,7,9,4,0.06187184782257079
S001-Q028,15,2ec87be4-468b-5498-889b-13f43f4ee222,False,8,0.028790389395194696,11,8,7,0.009228281053397652
S001-Q028,15,77cecfad-195f-539e-b105-acf49d23a9c6,False,9,0.02877846790890269,9,10,9,0.00658409288994506
S001-Q028,15,204ccd02-0a09-5bee-9d12-d6469c1688e8,False,10,0.028309409888357256,6,16,13,0.0028387223734474888
S001-Q028,15,34fa3574-894f-575c-b9b0-0a183473746e,False,11,0.028309409888357256,16,6,12,0.003006054579626242
S001-Q028,15,88e975b7-0f5a-5f5c-98ce-e461dcab93b8,False,12,0.028283227848101264,4,19,11,0.0031451225440232056
S001-Q028,15,f99dbe58-f286-568d-b1fe-f1ebe59c0e0a,False,13,0.02817460317460317,10,12,6,0.01066397485742301
S001-Q028,15,7c06f308-8022-5f54-a63c-ab30458f4115,False,14,0.02797067901234568,21,4,10,0.006139506093452332
S001-Q028,15,dea63c61-1950-5f6a-bdd9-1323f83f3b37,False,15,0.026500526500526502,14,17,15,0.0007795295002093327
S001-Q033,15,f1228bac-12d1-520f-9787-52a8cdcd49db,False,1,0.03278688524590164,1,1,1,0.9548400594862274
S001-Q033,15,7c06f308-8022-5f54-a63c-ab30458f4115,False,2,0.0315136476426799,5,2,4,0.6442981366106617
S001-Q033,15,d5c03971-3795-5256-a75f-b3921d61a92d,True,3,0.031054405392392875,2,7,3,0.7921375614590883
S001-Q033,15,204ccd02-0a09-5bee-9d12-d6469c1688e8,False,4,0.031024531024531024,3,6,8,0.16923749030588237
S001-Q033,15,f99dbe58-f286-568d-b1fe-f1ebe59c0e0a,False,5,0.029910714285714284,4,10,12,0.0609737475065853
S001-Q033,15,33eb4d66-a4c5-5429-b3bd-48948bb5d443,False,6,0.029571646010002173,13,3,2,0.8454262378787183
S001-Q033,15,812b1a36-c36b-58cb-882e-3759ed7c7c58,False,7,0.028850145288501453,6,13,13,0.037619052548621836
S001-Q033,15,31eb0f30-7b80-5d07-8ba6-bc6a6a24cb62,False,8,0.028790389395194696,8,11,6,0.22023462271439762
S001-Q033,15,77cecfad-195f-539e-b105-acf49d23a9c6,False,9,0.02877846790890269,10,9,14,0.03481077408780877
S001-Q033,15,dc12b285-c21d-5cfe-84a2-d016fce5ffe6,False,10,0.02786377708978328,16,8,7,0.19199463879998172
S001-Q033,15,55e7e466-3b1c-5014-85fc-2a14618ce254,False,11,0.02782608695652174,9,15,5,0.5017284961478347
S001-Q033,15,2ec87be4-468b-5498-889b-13f43f4ee222,False,12,0.027777777777777776,12,12,9,0.07578831150712009
S001-Q033,15,dea63c61-1950-5f6a-bdd9-1323f83f3b37,False,13,0.02738970588235294,25,4,10,0.06164237162272103
S001-Q033,15,8322bc48-f2e3-5603-ae53-97917cf35a39,False,14,0.026878868258178604,27,5,15,0.003283941104231998
S001-Q033,15,fb76b32a-859d-5228-b170-550c026c1646,False,15,0.0266900790166813,7,25,11,0.06119967781123063
S001-Q035,15,812b1a36-c36b-58cb-882e-3759ed7c7c58,False,1,0.03252247488101534,1,2,1,0.9297316405577499
S001-Q035,15,d5c03971-3795-5256-a75f-b3921d61a92d,False,2,0.03125763125763126,3,5,3,0.7138055270715772
S001-Q035,15,71a788a3-0077-5908-a7f4-d02349fd6e1c,False,3,0.03047794966520434,11,1,2,0.8476908304754998
S001-Q035,15,88e975b7-0f5a-5f5c-98ce-e461dcab93b8,False,4,0.03036576949620428,9,3,5,0.4331893965225
S001-Q035,15,2ec87be4-468b-5498-889b-13f43f4ee222,False,5,0.029910714285714284,10,4,6,0.30484701860321306
S001-Q035,15,31eb0f30-7b80-5d07-8ba6-bc6a6a24cb62,False,6,0.029827662395050816,2,13,12,0.07547915894912925
S001-Q035,15,dc12b285-c21d-5cfe-84a2-d016fce5ffe6,False,7,0.028665028665028666,6,14,13,0.0692050654309588
