candidate_representation,candidate_strategy,candidate_k,rerank_representation,reranker_model,candidate_recall,evaluated_query_count,eligible_gold_count,mrr,ndcg_at_5,mean_gold_rank,median_gold_rank,max_gold_rank,recall_at_1,recall_at_3,recall_at_5,recall_at_10,recall_at_15,recall_at_20,recall_at_30,score_all_visible_mean_ms,score_all_visible_p95_ms,status
P0,union_fixed,30,P0,BAAI/bge-reranker-base,1.0,14,21,0.2259139655490587,0.18674753355672655,11.857142857142858,12,27,0.047619047619047616,0.19047619047619047,0.2857142857142857,0.47619047619047616,0.6666666666666666,0.8095238095238095,1.0,4621.19940485614,22375.93211619969,AVAILABLE
P0,union_fixed,30,P1,BAAI/bge-reranker-base,1.0,14,21,0.23348212245271066,0.2156463140105633,10.142857142857142,7,26,0.0,0.2857142857142857,0.38095238095238093,0.5714285714285714,0.7142857142857143,0.9047619047619048,1.0,1391.9795174286785,2632.946130703203,AVAILABLE
P0,union_fixed,30,P8,BAAI/bge-reranker-base,1.0,14,21,0.29294098021983916,0.2713393987662372,10.238095238095237,8,28,0.047619047619047616,0.3333333333333333,0.42857142857142855,0.5238095238095238,0.7142857142857143,0.9047619047619048,1.0,3164.5920944283716,10849.590550750136,AVAILABLE
P0,rrf60,10,P0,BAAI/bge-reranker-base,0.47619047619047616,14,21,0.21691684249457358,0.15598492226576988,11.571428571428571,11,26,0.047619047619047616,0.19047619047619047,0.23809523809523808,0.47619047619047616,0.6666666666666666,0.9047619047619048,1.0,4621.19940485614,22375.93211619969,AVAILABLE
P0,rrf60,10,P1,BAAI/bge-reranker-base,0.47619047619047616,14,21,0.2008737585943468,0.2049566644059029,11.333333333333334,11,26,0.0,0.23809523809523808,0.38095238095238093,0.47619047619047616,0.6666666666666666,0.9047619047619048,1.0,1391.9795174286785,2632.946130703203,AVAILABLE
P0,rrf60,10,P8,BAAI/bge-reranker-base,0.47619047619047616,14,21,0.25206423478482304,0.2268547784332407,11.238095238095237,11,26,0.047619047619047616,0.23809523809523808,0.38095238095238093,0.47619047619047616,0.6666666666666666,0.9047619047619048,1.0,3164.5920944283716,10849.590550750136,AVAILABLE
P0,rrf60,15,P0,BAAI/bge-reranker-base,0.6666666666666666,14,21,0.22957561229620052,0.20369022732596198,11.0,11,26,0.047619047619047616,0.19047619047619047,0.3333333333333333,0.47619047619047616,0.6666666666666666,0.9047619047619048,1.0,4621.19940485614,22375.93211619969,AVAILABLE
P0,rrf60,15,P1,BAAI/bge-reranker-base,0.6666666666666666,14,21,0.20809292831351653,0.2156463140105633,10.523809523809524,8,26,0.0,0.23809523809523808,0.38095238095238093,0.5238095238095238,0.6666666666666666,0.9047619047619048,1.0,1391.9795174286785,2632.946130703203,AVAILABLE
P0,rrf60,15,P8,BAAI/bge-reranker-base,0.6666666666666666,14,21,0.2785879095227835,0.27000187441668094,10.476190476190476,9,26,0.047619047619047616,0.2857142857142857,0.42857142857142855,0.5238095238095238,0.6666666666666666,0.9047619047619048,1.0,3164.5920944283716,10849.590550750136,AVAILABLE
P0,rrf60,20,P0,BAAI/bge-reranker-base,0.9047619047619048,14,21,0.2302960927960928,0.18674753355672655,10.904761904761905,12,26,0.047619047619047616,0.19047619047619047,0.2857142857142857,0.47619047619047616,0.6666666666666666,0.9047619047619048,1.0,4621.19940485614,22375.93211619969,AVAILABLE
