baseline,config,comparison,session_id,query_id,gold_page_id,gold_source_turn_id,before_rank,after_rank,rank_improvement,before_score,after_score,score_difference
C3,M0,BGE-M3 Dense vs C3,S004,S004-Q022,1e8809d9-9426-51b9-9e17-039093174440,S004-Q018,4,5,-1,0.7066170573234558,0.73273766040802,0.02612060308456421
C3,M0,BGE-M3 Dense vs C3,S004,S004-Q026,7567fc91-4210-59bc-ac74-0cc3060edc83,S004-Q014,18,20,-2,0.7261838316917419,0.7236169576644897,-0.0025668740272521973
C3,M0,BGE-M3 Dense vs C3,S004,S004-Q026,fadb48cb-a45f-5f46-8f39-e18bd7dff4f1,S004-Q019,14,6,8,0.7453212141990662,0.7812882661819458,0.03596705198287964
C3,M0,BGE-M3 Dense vs C3,S004,S004-Q028,f642437d-2d3c-5b95-a7f6-29f2e68c0a13,S004-Q022,8,4,4,0.7841389775276184,0.7411869764328003,-0.042952001094818115
C3,M0,BGE-M3 Dense vs C3,S004,S004-Q033,73b2fb55-c036-52ca-842e-cc784d317c61,S004-Q023,5,16,-11,0.6531623601913452,0.7141011357307434,0.06093877553939819
C3,M0,BGE-M3 Dense vs C3,S004,S004-Q033,dad4c589-bd44-5d61-917f-9435b971db4d,S004-Q029,19,8,11,0.60422682762146,0.7328813672065735,0.12865453958511353
C3,M0,BGE-M3 Dense vs C3,S004,S004-Q035,dad4c589-bd44-5d61-917f-9435b971db4d,S004-Q029,3,5,-2,0.5494986772537231,0.6492872834205627,0.0997886061668396
C3,M0,BGE-M3 Dense vs C3,S004,S004-Q039,c022f180-c519-52a7-9c70-3f15928609b5,S004-Q027,4,23,-19,0.5578400492668152,0.6022965312004089,0.04445648193359375
C3,M0,BGE-M3 Dense vs C3,S004,S004-Q039,594016a4-b321-5143-a8c6-3923fed20111,S004-Q032,21,13,8,0.489423006772995,0.6244894862174988,0.13506647944450378
C3,M0,BGE-M3 Dense vs C3,S004,S004-Q042,c61777d3-f94f-5655-9b6b-9d6cdc28c303,S004-Q036,4,10,-6,0.5434472560882568,0.5554845929145813,0.012037336826324463
C3,M0,BGE-M3 Dense vs C3,S004,S004-Q044,094486b7-1e86-5360-8005-66c6886152c2,S004-Q034,40,28,12,0.30329322814941406,0.4025819003582001,0.09928867220878601
C3,M0,BGE-M3 Dense vs C3,S004,S004-Q044,682aecdf-197a-5dc6-b88d-886b08ffb500,S004-Q040,28,2,26,0.3380138576030731,0.4720795750617981,0.13406571745872498
C3,M0,BGE-M3 Dense vs C3,S004,S004-Q049,08c5243c-c754-5bb1-b020-dfbf21f542d7,S004-Q043,22,21,1,0.5372671484947205,0.648980975151062,0.11171382665634155
C3,M0,BGE-M3 Dense vs C3,S004,S004-Q052,682aecdf-197a-5dc6-b88d-886b08ffb500,S004-Q040,36,23,13,0.5712360143661499,0.6543971300125122,0.0831611156463623
C3,M0,BGE-M3 Dense vs C3,S004,S004-Q052,b229284b-6a2b-5cfb-a8c8-0ccc1bd72603,S004-Q045,17,25,-8,0.6142544746398926,0.6502452492713928,0.035990774631500244
C3,M0,BGE-M3 Dense vs C3,S004,S004-Q055,b229284b-6a2b-5cfb-a8c8-0ccc1bd72603,S004-Q045,25,30,-5,0.5234483480453491,0.6048812866210938,0.08143293857574463
C3,M0,BGE-M3 Dense vs C3,S004,S004-Q055,90248870-b2cb-59d2-a707-79d09f366d8a,S004-Q051,33,43,-10,0.5125783085823059,0.5802451968193054,0.06766688823699951
C3,M0,BGE-M3 Dense vs C3,S004,S004-Q056,adc1eeb8-b0f8-5877-88cf-abdd23798b3a,S004-Q050,3,20,-17,0.6123521327972412,0.6525918245315552,0.040239691734313965
C3,M0,BGE-M3 Dense vs C3,S004,S004-Q063,2c5547ce-bd04-536c-8b2d-e09ae5633e53,S004-Q057,26,13,13,0.4568561911582947,0.5954423546791077,0.138586163520813
C3,M0,BGE-M3 Dense vs C3,S004,S004-Q065,ca05266e-320c-5081-9d2d-f7c8689c58a9,S004-Q053,12,5,7,0.4582591652870178,0.5576174855232239,0.09935832023620605
C3,M0,BGE-M3 Dense vs C3,S004,S004-Q065,28de896e-9356-58a4-a8c5-c3efe7770f57,S004-Q058,2,12,-10,0.47814619541168213,0.5248700976371765,0.046723902225494385
C3,M0,BGE-M3 Dense vs C3,S004,S004-Q066,52990abe-a81c-5937-b506-8a88315cc3c0,S004-Q056,15,7,8,0.42474165558815,0.483438104391098,0.058696448802948
C3,M0,BGE-M3 Dense vs C3,S004,S004-Q066,57ef23a9-5ba4-568c-9cc1-4c5e9a47ec7a,S004-Q062,22,17,5,0.41263967752456665,0.45776602625846863,0.04512634873390198
C3,M0,BGE-M3 Dense vs C3,S004,S004-Q070,2e530daf-4b7a-5b20-9fe7-9c23daee4af6,S004-Q064,4,26,-22,0.5201765894889832,0.606772780418396,0.08659619092941284
C3,M0,BGE-M3 Dense vs C3,S005,S005-Q007,73dd18d4-5dac-5f27-ac96-83de10de4633,S005-Q001,2,3,-1,0.4894738793373108,0.5919211506843567,0.1024472713470459
C3,M0,BGE-M3 Dense vs C3,S005,S005-Q011,73dd18d4-5dac-5f27-ac96-83de10de4633,S005-Q001,7,6,1,0.4091431200504303,0.47640904784202576,0.06726592779159546
C3,M0,BGE-M3 Dense vs C3,S005,S005-Q011,9c806b54-004f-57bf-8755-c4a0eebd929e,S005-Q007,2,3,-1,0.4483288526535034,0.507548987865448,0.05922013521194458
