variant,baseline,comparison,session_id,query_id,gold_page_id,gold_source_turn_id,before_rank,after_rank,rank_improvement,before_score,after_score,score_difference
V2-Global,C3,V2-Global vs C3,S004,S004-Q066,52990abe-a81c-5937-b506-8a88315cc3c0,S004-Q056,15,19,-4,0.42474165558815,0.4167044758796692,-0.008037179708480835
V2-Global,C3,V2-Global vs C3,S004,S004-Q066,57ef23a9-5ba4-568c-9cc1-4c5e9a47ec7a,S004-Q062,22,20,2,0.41263967752456665,0.41606083512306213,0.0034211575984954834
V2-Global,C3,V2-Global vs C3,S004,S004-Q070,2e530daf-4b7a-5b20-9fe7-9c23daee4af6,S004-Q064,4,7,-3,0.5201765894889832,0.5089676976203918,-0.011208891868591309
V2-Global,C3,V2-Global vs C3,S005,S005-Q007,73dd18d4-5dac-5f27-ac96-83de10de4633,S005-Q001,2,3,-1,0.4894738793373108,0.4862630367279053,-0.0032108426094055176
V2-Global,C3,V2-Global vs C3,S005,S005-Q011,73dd18d4-5dac-5f27-ac96-83de10de4633,S005-Q001,7,7,0,0.4091431200504303,0.4110303819179535,0.0018872618675231934
V2-Global,C3,V2-Global vs C3,S005,S005-Q011,9c806b54-004f-57bf-8755-c4a0eebd929e,S005-Q007,2,1,1,0.4483288526535034,0.48150625824928284,0.03317740559577942
V2-Global,C3,V2-Global vs C3,S005,S005-Q013,73dd18d4-5dac-5f27-ac96-83de10de4633,S005-Q001,9,9,0,0.4276643693447113,0.42948633432388306,0.001821964979171753
V2-Global,C3,V2-Global vs C3,S005,S005-Q013,6e436632-8d73-58b8-a746-7cbc36ffe10f,S005-Q006,1,4,-3,0.4773827791213989,0.47230589389801025,-0.005076885223388672
V2-Global,C3,V2-Global vs C3,S005,S005-Q014,c64751d6-21c8-5c09-87da-48f940293661,S005-Q008,4,2,2,0.42706114053726196,0.4733799695968628,0.04631882905960083
V2-Global,C3,V2-Global vs C3,S005,S005-Q021,5095d8f5-e975-5011-976e-e587c31560f2,S005-Q015,4,8,-4,0.5493555665016174,0.5350956916809082,-0.014259874820709229
V2-Global,C3,V2-Global vs C3,S005,S005-Q022,bcb24496-086a-528b-a09e-86bae79fa560,S005-Q012,11,12,-1,0.5612436532974243,0.573336124420166,0.0120924711227417
V2-Global,C3,V2-Global vs C3,S005,S005-Q022,c16509f9-dd00-5e11-9acf-ecc8f08ad424,S005-Q018,14,14,0,0.5384949445724487,0.5587799549102783,0.02028501033782959
V2-Global,C3,V2-Global vs C3,S005,S005-Q026,87d6b0ff-8b24-5176-ba24-dbc110c6e1d5,S005-Q014,5,4,1,0.6158711314201355,0.5591322779655457,-0.056738853454589844
V2-Global,C3,V2-Global vs C3,S005,S005-Q026,daf8b285-37ac-5e07-a640-74fc9322fe21,S005-Q019,10,5,5,0.5733019709587097,0.5571931004524231,-0.01610887050628662
V2-Global,C3,V2-Global vs C3,S005,S005-Q028,102b7fa7-9564-5e73-98e7-41fde776fa99,S005-Q022,13,18,-5,0.5440734028816223,0.5565112829208374,0.012437880039215088
