variant,baseline,comparison,session_id,query_id,gold_page_id,gold_source_turn_id,before_rank,after_rank,rank_improvement,before_score,after_score,score_difference
V2-Global,C3,V2-Global vs C3,S002,S002-Q026,00ce1b35-d357-53e0-a42e-a8f97d4a07f0,S002-Q014,8,6,2,0.6824973225593567,0.710929811000824,0.028432488441467285
V2-Global,C3,V2-Global vs C3,S002,S002-Q026,e64218f2-62ce-555a-ba53-f3fd1214e0f7,S002-Q019,10,9,1,0.6791412234306335,0.6872261166572571,0.008084893226623535
V2-Global,C3,V2-Global vs C3,S002,S002-Q028,42756865-0f8f-5dcc-a050-6ecec5b828ce,S002-Q022,2,2,0,0.7513960599899292,0.7546801567077637,0.0032840967178344727
V2-Global,C3,V2-Global vs C3,S002,S002-Q033,79860bb6-6010-5ca0-ac81-f4327e2bff44,S002-Q023,2,2,0,0.7454124689102173,0.7540778517723083,0.008665382862091064
V2-Global,C3,V2-Global vs C3,S002,S002-Q033,893b3ae9-1f94-5436-8c6d-54e200693867,S002-Q029,11,16,-5,0.7210525870323181,0.7162932753562927,-0.004759311676025391
V2-Global,C3,V2-Global vs C3,S002,S002-Q035,893b3ae9-1f94-5436-8c6d-54e200693867,S002-Q029,11,16,-5,0.7214906811714172,0.6872496604919434,-0.03424102067947388
V2-Global,C3,V2-Global vs C3,S002,S002-Q039,0dd982c7-f7b2-5ac0-8c16-56d44bbe4330,S002-Q027,13,15,-2,0.6772738099098206,0.6843270659446716,0.007053256034851074
V2-Global,C3,V2-Global vs C3,S002,S002-Q039,78a623b8-bff9-5b45-b990-24d74e714f9b,S002-Q032,2,1,1,0.7298577427864075,0.7383397221565247,0.008481979370117188
V2-Global,C3,V2-Global vs C3,S002,S002-Q042,5c22c135-b86e-56a3-83eb-7484d1183dca,S002-Q036,12,2,10,0.6979053020477295,0.7499579787254333,0.05205267667770386
V2-Global,C3,V2-Global vs C3,S002,S002-Q044,57b8caa3-b46e-50f2-a65a-bb244543b1c3,S002-Q034,39,40,-1,0.6558573842048645,0.6097753047943115,-0.04608207941055298
V2-Global,C3,V2-Global vs C3,S002,S002-Q044,647fce0c-6320-5a98-819d-50dff3300582,S002-Q040,4,9,-5,0.7309869527816772,0.7207605838775635,-0.01022636890411377
V2-Global,C3,V2-Global vs C3,S002,S002-Q049,57600f18-283a-5f61-bf9e-7a48d4f8d3c5,S002-Q043,4,7,-3,0.67808997631073,0.7122352719306946,0.0341452956199646
V2-Global,C3,V2-Global vs C3,S002,S002-Q052,647fce0c-6320-5a98-819d-50dff3300582,S002-Q040,1,2,-1,0.6072694063186646,0.5808930397033691,-0.02637636661529541
V2-Global,C3,V2-Global vs C3,S002,S002-Q052,d728a292-3080-5624-89ff-d8e05d09e8ca,S002-Q045,15,23,-8,0.4818408787250519,0.49605026841163635,0.014209389686584473
V2-Global,C3,V2-Global vs C3,S002,S002-Q055,d728a292-3080-5624-89ff-d8e05d09e8ca,S002-Q045,16,6,10,0.492669016122818,0.5253505110740662,0.03268149495124817
V2-Global,C3,V2-Global vs C3,S002,S002-Q055,2e583969-bc65-5074-a7fe-0424438cd092,S002-Q051,12,21,-9,0.5007023811340332,0.4989655911922455,-0.0017367899417877197
V2-Global,C3,V2-Global vs C3,S002,S002-Q056,e40ec65e-2907-515a-b1dd-3bec39109106,S002-Q050,36,28,8,0.33248934149742126,0.38290542364120483,0.05041608214378357
V2-Global,C3,V2-Global vs C3,S002,S002-Q063,3549589e-05fe-5631-9385-5379f8dd4396,S002-Q057,11,39,-28,0.6479683518409729,0.5368034839630127,-0.1111648678779602
V2-Global,C3,V2-Global vs C3,S002,S002-Q065,a2f4bee5-f836-545e-8197-d79f3f2d284c,S002-Q053,1,1,0,0.650933027267456,0.5853399634361267,-0.06559306383132935
V2-Global,C3,V2-Global vs C3,S002,S002-Q065,7cf76f8c-3ecc-5aa0-8867-9b1934ccb270,S002-Q058,6,10,-4,0.6310549378395081,0.5126327872276306,-0.11842215061187744
