Model,kind,session_id,item_id,source_turn_id,token_count,max_length,truncated,summary_tokens,summary_tokens_kept,summary_truncated,keywords_tokens,keywords_tokens_kept,keywords_status
Alibaba-NLP/gte-multilingual-base,Page,S002,e2b1c04d-b6eb-5b03-8271-58604d4e20d3,S002-Q038,449,1024,False,408,408,False,39,39,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S002,0f36d25b-9079-50b7-8631-6c59c16d905b,S002-Q039,473,1024,False,432,432,False,39,39,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S002,647fce0c-6320-5a98-819d-50dff3300582,S002-Q040,411,1024,False,371,371,False,38,38,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S002,a640b50d-59f1-5355-8579-dc5aea979edb,S002-Q041,326,1024,False,291,291,False,33,33,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S002,2dfdba20-c49c-5149-9993-09aa190738c7,S002-Q042,355,1024,False,315,315,False,38,38,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S002,57600f18-283a-5f61-bf9e-7a48d4f8d3c5,S002-Q043,388,1024,False,346,346,False,40,40,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S002,36301016-21e0-53b6-967a-92affd6e0d68,S002-Q044,455,1024,False,415,415,False,38,38,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S002,d728a292-3080-5624-89ff-d8e05d09e8ca,S002-Q045,461,1024,False,422,422,False,37,37,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S002,03cfc256-5474-5a94-b3bd-8ae0e1468cfd,S002-Q046,506,1024,False,464,464,False,40,40,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S002,861902a4-c7d1-5058-ac04-5824babf2b61,S002-Q047,475,1024,False,434,434,False,39,39,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S002,a56a2b47-0045-5d3d-952d-ef79edf44e4a,S002-Q048,486,1024,False,445,445,False,39,39,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S002,8dcae915-8670-5f3e-802c-be0b10d761fa,S002-Q049,379,1024,False,340,340,False,37,37,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S002,e40ec65e-2907-515a-b1dd-3bec39109106,S002-Q050,477,1024,False,439,439,False,36,36,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S002,2e583969-bc65-5074-a7fe-0424438cd092,S002-Q051,428,1024,False,386,386,False,40,40,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S002,08071793-33f2-5c8e-835a-34f1835a0973,S002-Q052,470,1024,False,428,428,False,40,40,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S002,a2f4bee5-f836-545e-8197-d79f3f2d284c,S002-Q053,458,1024,False,418,418,False,38,38,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S002,5490b9a4-3ee1-5d2c-913f-1fb3ae921f10,S002-Q054,457,1024,False,415,415,False,40,40,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S002,d04ea023-63be-523c-b994-bdc3c3fd0ae4,S002-Q055,467,1024,False,424,424,False,41,41,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S002,166328f1-a89c-5b18-8a53-02ac909e0849,S002-Q056,383,1024,False,342,342,False,39,39,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S002,3549589e-05fe-5631-9385-5379f8dd4396,S002-Q057,389,1024,False,353,353,False,34,34,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S002,7cf76f8c-3ecc-5aa0-8867-9b1934ccb270,S002-Q058,485,1024,False,444,444,False,39,39,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S002,f176798e-99a6-575c-b7a4-f45d3d408206,S002-Q059,374,1024,False,331,331,False,41,41,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S002,90f899e0-16f7-540e-9302-625439620445,S002-Q060,371,1024,False,335,335,False,34,34,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S002,94326378-5fde-5bb5-85fb-a77991b3ac6c,S002-Q061,389,1024,False,352,352,False,35,35,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S002,323c7c4f-02b6-5801-9c72-3623423fb3c6,S002-Q062,373,1024,False,335,335,False,36,36,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S002,235cb91c-034a-5c73-9bd4-32f5b41e13d7,S002-Q063,361,1024,False,323,323,False,36,36,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S002,95dce1c8-76eb-5c10-b622-b77e03c00526,S002-Q064,383,1024,False,346,346,False,35,35,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S002,9f5d73d5-494c-575c-aba9-157919723349,S002-Q065,361,1024,False,324,324,False,35,35,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S002,9a8b3ff4-8cf9-50ac-af2f-678281152fda,S002-Q066,483,1024,False,440,440,False,41,41,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S002,6c3ee9bb-44fd-58de-b46f-7a5cf21d7d48,S002-Q067,346,1024,False,303,303,False,41,41,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S002,e1d7ccc6-3641-51f9-9153-f81df340dffc,S002-Q068,362,1024,False,324,324,False,36,36,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S002,34c298d0-573d-5bb7-860c-2b5d53e5198e,S002-Q069,325,1024,False,288,288,False,35,35,FULLY_KEPT
