session_id,query_id,gold_page_id,baseline_rank,baseline_score,P0_rank,P0_score,P0_promoted,P0_demoted,P0_rank_movement,P2_rank,P2_score,P2_promoted,P2_demoted,P2_rank_movement,P4_rank,P4_score,P4_promoted,P4_demoted,P4_rank_movement
S005,S005-Q022,c16509f9-dd00-5e11-9acf-ecc8f08ad424,16,0.5099824070930481,16,0.5099823474884033,False,False,0,16,0.5099823474884033,False,False,0,16,0.5194520354270935,False,False,0
S005,S005-Q026,87d6b0ff-8b24-5176-ba24-dbc110c6e1d5,3,0.5428827404975891,3,0.5428826808929443,False,False,0,4,0.6175693273544312,False,False,-1,3,0.5428826808929443,False,False,0
S005,S005-Q026,daf8b285-37ac-5e07-a640-74fc9322fe21,11,0.531827986240387,11,0.5318279266357422,False,False,0,17,0.5549681186676025,False,False,-6,11,0.5318279266357422,False,False,0
S005,S005-Q028,102b7fa7-9564-5e73-98e7-41fde776fa99,19,0.35931506752967834,19,0.35931503772735596,False,False,0,7,0.5747470259666443,False,False,12,20,0.3634168803691864,False,False,-1
S005,S005-Q033,407824ab-fd2c-5a7b-ac60-4e9d2ed5311e,7,0.5736443400382996,6,0.5896957516670227,False,False,1,6,0.5896957516670227,False,False,1,9,0.5824053883552551,False,False,-2
S005,S005-Q033,52954b6d-4823-5e0a-955d-8a3b24df0a30,2,0.6042726635932922,2,0.6193385124206543,False,False,0,2,0.6193385124206543,False,False,0,2,0.6124204397201538,False,False,0
S005,S005-Q035,52954b6d-4823-5e0a-955d-8a3b24df0a30,27,0.4777073264122009,27,0.4777074158191681,False,False,0,18,0.5682905912399292,False,False,9,27,0.4777074158191681,False,False,0
S005,S005-Q039,e0f6fcfc-3a3a-5dbe-8aa0-d690b2179326,32,0.3987697660923004,32,0.3987696170806885,False,False,0,32,0.3987696170806885,False,False,0,32,0.3987696170806885,False,False,0
S005,S005-Q039,a9136ff5-7fca-58fe-8907-08b361042647,1,0.542832612991333,1,0.5428324937820435,False,False,0,1,0.5428324937820435,False,False,0,1,0.5428324937820435,False,False,0
S005,S005-Q042,19b9c9f1-754d-5322-831d-a2b5bbc632f9,3,0.549081563949585,3,0.549081563949585,False,False,0,3,0.6224579811096191,False,False,0,3,0.6121388673782349,False,False,0
S005,S005-Q044,53a0c2bd-e2e0-5a10-8976-c6a159c1cd78,25,0.5383332371711731,25,0.5383333563804626,False,False,0,27,0.5472586154937744,False,False,-2,25,0.5383333563804626,False,False,0
S005,S005-Q044,009ec1d2-83f6-5755-bd7a-e5a92eda1890,18,0.5522897243499756,18,0.5522896647453308,False,False,0,16,0.5634528398513794,False,False,2,18,0.5522896647453308,False,False,0
S005,S005-Q049,d0b649b9-d683-5ad9-a5a6-64c75b0bc996,3,0.5986030697822571,3,0.5986030101776123,False,False,0,3,0.5986030101776123,False,False,0,6,0.6276074647903442,False,True,-3
S005,S005-Q052,009ec1d2-83f6-5755-bd7a-e5a92eda1890,5,0.5705035924911499,5,0.5705037713050842,False,False,0,5,0.5705037713050842,False,False,0,9,0.6087929010391235,False,True,-4
S005,S005-Q052,c50cce28-4618-514d-bc83-20a57b6f5562,29,0.5134084820747375,29,0.5134086012840271,False,False,0,29,0.5134086012840271,False,False,0,28,0.5635297894477844,False,False,1
S005,S005-Q055,c50cce28-4618-514d-bc83-20a57b6f5562,14,0.49585023522377014,14,0.49585020542144775,False,False,0,14,0.49585020542144775,False,False,0,14,0.49585020542144775,False,False,0
S005,S005-Q055,cc845b3c-bd6e-511e-8bf1-44f5e08cf54a,3,0.5418193340301514,3,0.5418193936347961,False,False,0,3,0.5418193936347961,False,False,0,3,0.5418193936347961,False,False,0
S005,S005-Q056,749bba84-be69-55e2-98a1-a9617e473fb0,38,0.46856755018234253,38,0.4685676693916321,False,False,0,38,0.4685676693916321,False,False,0,38,0.4685676693916321,False,False,0
