Config,comparison,session_id,query_id,gold_page_id,gold_source_turn_id,before_rank,after_rank,rank_improvement,before_score,after_score,score_difference,transition,dense_rank,hybrid_rank,dense_score,raw_bm25_score,normalized_bm25_score,final_score,zero_fallback_applied
H5-W50,H5-W50 vs Dense,S003,S003-Q039,4ed05884-3478-5a91-a63f-3067fd41956d,S003-Q027,2,2,0,0.6725355982780457,0.3394543057989266,-0.33308129247911905,UNCHANGED,2,2,0.6725355982780457,1.901421070098877,0.006373013319807585,0.3394543057989266,False
H5-W50,H5-W50 vs Dense,S003,S003-Q039,c94687e6-820c-5c03-a774-40d03e0f70be,S003-Q032,29,29,0,0.5633748769760132,0.28487394514791037,-0.2785009318281028,UNCHANGED,29,29,0.5633748769760132,1.901421070098877,0.006373013319807585,0.28487394514791037,False
H5-W50,H5-W50 vs Dense,S003,S003-Q042,82bf5c46-13d0-5fb7-9826-308047a68fc7,S003-Q036,6,12,-6,0.5420230627059937,0.2710115313529968,-0.2710115313529968,UNCHANGED,6,12,0.5420230627059937,0.0,0.0,0.2710115313529968,False
H5-W50,H5-W50 vs Dense,S003,S003-Q044,ae9f0678-a87f-5377-8edd-5fbd8ff4b4fa,S003-Q034,33,34,-1,0.4599473774433136,0.2299736887216568,-0.2299736887216568,UNCHANGED,33,34,0.4599473774433136,0.0,0.0,0.2299736887216568,False
H5-W50,H5-W50 vs Dense,S003,S003-Q044,bd2dd48b-5c6b-516a-9bdc-e2e5cdb84c9c,S003-Q040,15,5,10,0.5070860385894775,0.2712781733701004,-0.23580786521937713,PROMOTED,15,5,0.5070860385894775,5.394110679626465,0.035470308150723315,0.2712781733701004,False
H5-W50,H5-W50 vs Dense,S003,S003-Q049,2316a391-e779-530b-ac2f-055182347d32,S003-Q043,22,23,-1,0.5056788325309753,0.25283941626548767,-0.25283941626548767,UNCHANGED,22,23,0.5056788325309753,0.0,0.0,0.25283941626548767,False
H5-W50,H5-W50 vs Dense,S003,S003-Q052,bd2dd48b-5c6b-516a-9bdc-e2e5cdb84c9c,S003-Q040,10,10,0,0.5986801981925964,0.30445676893652485,-0.2942234292560716,UNCHANGED,10,10,0.5986801981925964,2.856363534927368,0.010233339680453214,0.30445676893652485,False
H5-W50,H5-W50 vs Dense,S003,S003-Q052,cc3a667e-ea49-5490-bb5c-5a4d9db97e6f,S003-Q045,15,13,2,0.592033326625824,0.3011145700846887,-0.29091875654113525,UNCHANGED,15,13,0.592033326625824,2.848940134048462,0.010195813543553471,0.3011145700846887,False
H5-W50,H5-W50 vs Dense,S003,S003-Q055,cc3a667e-ea49-5490-bb5c-5a4d9db97e6f,S003-Q045,41,43,-2,0.4069212079048157,0.20346060395240784,-0.20346060395240784,UNCHANGED,41,43,0.4069212079048157,0.0,0.0,0.20346060395240784,False
H5-W50,H5-W50 vs Dense,S003,S003-Q055,9409734e-8235-5011-8c1a-60ed15ad9024,S003-Q051,11,16,-5,0.4789794087409973,0.23948970437049866,-0.23948970437049866,UNCHANGED,11,16,0.4789794087409973,0.0,0.0,0.23948970437049866,False
H5-W50,H5-W50 vs Dense,S003,S003-Q056,59d896c1-0734-53cf-821a-5728dd5fe548,S003-Q050,3,5,-2,0.5221919417381287,0.26109597086906433,-0.26109597086906433,UNCHANGED,3,5,0.5221919417381287,0.0,0.0,0.26109597086906433,False
H5-W50,H5-W50 vs Dense,S003,S003-Q063,83b39f0f-a1ea-5e54-98aa-d61af4aee5f9,S003-Q057,19,25,-6,0.4438685476779938,0.2219342738389969,-0.2219342738389969,UNCHANGED,19,25,0.4438685476779938,0.0,0.0,0.2219342738389969,False
