config,session_id,source_turn_id,page_id,raw_token_count_including_special,length_bucket,max_length,page_truncated,summary_tokens,summary_tokens_kept,summary_truncated,keywords_tokens,keywords_tokens_kept,keywords_truncation_status
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S001,S001-Q044,989a0de5-bebd-56a4-97a0-84ff3f9ae051,458,<=512,512,False,414,414,False,42,42,FULLY_KEPT
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S001,S001-Q045,dc5bd854-533a-501d-bb9c-f3d1b7c06fde,594,513-1024,512,True,548,510,True,44,0,FULLY_TRUNCATED
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S001,S001-Q046,cf78bbdc-fc14-56f3-b099-3b40129e0af9,474,<=512,512,False,428,428,False,44,44,FULLY_KEPT
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S001,S001-Q047,9f8ff8ed-0916-5409-aa52-750fa5f30a1c,494,<=512,512,False,448,448,False,44,44,FULLY_KEPT
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S002,S002-Q001,f70d87dd-c4b9-59de-a761-869308b1818b,413,<=512,512,False,370,370,False,41,41,FULLY_KEPT
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S002,S002-Q002,ceb187fe-1602-54a0-9ed7-224c7816f53e,494,<=512,512,False,449,449,False,43,43,FULLY_KEPT
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S002,S002-Q003,5d1eccd0-c642-585e-9c32-5450ef208a4b,442,<=512,512,False,401,401,False,39,39,FULLY_KEPT
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S002,S002-Q004,37f703bf-173c-56df-b339-f52774261c6e,434,<=512,512,False,387,387,False,45,45,FULLY_KEPT
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S002,S002-Q005,4061a539-8cec-524a-9a35-60f71e908abb,467,<=512,512,False,425,425,False,40,40,FULLY_KEPT
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S002,S002-Q006,a6c0000c-f234-59a1-b6e5-1283680d9b77,485,<=512,512,False,439,439,False,44,44,FULLY_KEPT
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S002,S002-Q007,03c3981b-3b09-56ca-a545-043c8ff0d240,477,<=512,512,False,431,431,False,44,44,FULLY_KEPT
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S002,S002-Q008,37d568b0-90c6-5481-b7d9-e0101fd95e52,521,513-1024,512,True,476,476,False,43,34,PARTIALLY_TRUNCATED
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S002,S002-Q009,ffe3f8c5-2f7a-5645-ac8f-b41d05a11638,399,<=512,512,False,354,354,False,43,43,FULLY_KEPT
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S002,S002-Q010,6b4b9646-98e5-5584-bb4f-cc3b2b4e51d0,494,<=512,512,False,446,446,False,46,46,FULLY_KEPT
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S002,S002-Q011,6e877c55-d5b4-5992-9e95-5c482212a7c9,456,<=512,512,False,411,411,False,43,43,FULLY_KEPT
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S002,S002-Q012,4d8b4bb3-4a1f-538c-af07-cc0ce19ea796,475,<=512,512,False,430,430,False,43,43,FULLY_KEPT
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S002,S002-Q013,1489a6a2-1be1-5d95-99ec-ac3f42b06c35,476,<=512,512,False,429,429,False,45,45,FULLY_KEPT
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S002,S002-Q014,00ce1b35-d357-53e0-a42e-a8f97d4a07f0,382,<=512,512,False,343,343,False,37,37,FULLY_KEPT
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S002,S002-Q015,691ce2a8-c4c3-51f3-8cb7-32f42cdee99e,384,<=512,512,False,345,345,False,37,37,FULLY_KEPT
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S002,S002-Q016,8abb5364-9164-5a46-826a-a0fde69d88a8,505,<=512,512,False,460,460,False,43,43,FULLY_KEPT
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S002,S002-Q017,0c762a14-8087-5bb0-a22d-c86667c2dabe,529,513-1024,512,True,484,484,False,43,26,PARTIALLY_TRUNCATED
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S002,S002-Q018,b304ab57-b911-5070-88ba-fca4f39a37e8,571,513-1024,512,True,523,510,True,46,0,FULLY_TRUNCATED
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S002,S002-Q019,e64218f2-62ce-555a-ba53-f3fd1214e0f7,570,513-1024,512,True,526,510,True,42,0,FULLY_TRUNCATED
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S002,S002-Q020,9f71d35e-bf23-5ea1-9ed6-f9fb77b5ea80,533,513-1024,512,True,488,488,False,43,22,PARTIALLY_TRUNCATED
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S002,S002-Q021,c8f4e926-30e6-5f69-bf75-7901bee08448,513,513-1024,512,True,466,466,False,45,44,PARTIALLY_TRUNCATED
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S002,S002-Q022,42756865-0f8f-5dcc-a050-6ecec5b828ce,413,<=512,512,False,370,370,False,41,41,FULLY_KEPT
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S002,S002-Q023,79860bb6-6010-5ca0-ac81-f4327e2bff44,391,<=512,512,False,346,346,False,43,43,FULLY_KEPT
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S002,S002-Q024,6d98ca26-e346-5273-b057-bb7822359930,540,513-1024,512,True,492,492,False,46,18,PARTIALLY_TRUNCATED
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S002,S002-Q025,50ece86f-0b7d-5180-8833-108f08b16aa0,398,<=512,512,False,352,352,False,44,44,FULLY_KEPT
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S002,S002-Q026,9f1aca79-05a4-5e05-95d1-2323f4c68ed6,526,513-1024,512,True,481,481,False,43,29,PARTIALLY_TRUNCATED
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S002,S002-Q027,0dd982c7-f7b2-5ac0-8c16-56d44bbe4330,383,<=512,512,False,338,338,False,43,43,FULLY_KEPT
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S002,S002-Q028,9316db54-3f72-5cdc-a8fb-417c4891e307,531,513-1024,512,True,488,488,False,41,22,PARTIALLY_TRUNCATED
