model,kind,item_id,session_id,source_turn_id,raw_text_token_count,official_instruction_added,selected_max_length,truncated
aspire/acge_text_embedding,Page,bd6d22da-10ea-5784-b308-d3f5d1f57469,S003,S003-Q018,445,False,1024,False
aspire/acge_text_embedding,Page,bd0dc9f1-4c0c-5c9f-b9c0-5a7b5051b7f2,S003,S003-Q019,456,False,1024,False
aspire/acge_text_embedding,Page,8319fad1-425d-545c-8ef3-4df0fdc3b11d,S003,S003-Q020,456,False,1024,False
aspire/acge_text_embedding,Page,78d45bb9-9e17-532c-ac94-a233f3897490,S003,S003-Q021,572,False,1024,False
aspire/acge_text_embedding,Page,9ca9c523-e56d-58df-aa6b-c54a80e3dbb5,S003,S003-Q022,472,False,1024,False
aspire/acge_text_embedding,Page,c96d749e-7c02-5289-ab48-fd03586dd5b1,S003,S003-Q023,459,False,1024,False
aspire/acge_text_embedding,Page,f72f3149-1377-5599-b08d-64731562b90f,S003,S003-Q024,569,False,1024,False
aspire/acge_text_embedding,Page,2013e8e4-8edb-5c7a-9104-a9e3d152b49c,S003,S003-Q025,421,False,1024,False
aspire/acge_text_embedding,Page,cdb5dd69-63b7-55e7-a4a0-85d8028c468c,S003,S003-Q026,486,False,1024,False
aspire/acge_text_embedding,Page,4ed05884-3478-5a91-a63f-3067fd41956d,S003,S003-Q027,677,False,1024,False
aspire/acge_text_embedding,Page,7a6c2c70-6d05-5a6d-9a53-32d92efee826,S003,S003-Q028,402,False,1024,False
aspire/acge_text_embedding,Page,1b535a84-9ae4-50ee-bbda-1d7ba186183e,S003,S003-Q029,444,False,1024,False
aspire/acge_text_embedding,Page,fe6436d0-9e94-53f7-ae4c-13a3d82b10ba,S003,S003-Q030,472,False,1024,False
aspire/acge_text_embedding,Page,3feeb57b-680f-5621-a81f-e1d1879ae37d,S003,S003-Q031,449,False,1024,False
aspire/acge_text_embedding,Page,c94687e6-820c-5c03-a774-40d03e0f70be,S003,S003-Q032,461,False,1024,False
aspire/acge_text_embedding,Page,05e85ae0-3d1a-5b35-8b21-33024859d641,S003,S003-Q033,442,False,1024,False
